@relation 'Laptop_price-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddValues-C1-L0,1,2,3,4-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R2-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R5-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R6-unset-class-temporarily-weka.filters.unsupervised.attribute.AddValues-C8-L0,1-weka.filters.unsupervised.attribute.AddValues-C9-L0,1'

@attribute Brand {Asus,Acer,Lenovo,HP,Dell,0,1,2,3,4}
@attribute Processor_Speed numeric
@attribute RAM_Size numeric
@attribute Storage_Capacity numeric
@attribute Screen_Size numeric
@attribute Weight numeric
@attribute Price numeric
@attribute Outlier {no,yes,0,1}
@attribute ExtremeValue {no,yes,0,1}

@data
0,3,0.428571,0.344086,1,1,0.353939,0,0
1,3,0,1,1,2,0.923946,0,0
2,3,0.411807,0,1,1,0.028917,0,0
1,3,0.428571,0.344086,1,3,0.355609,0,0
1,3,1,1,3,3,0.9765,0,0
3,1,0.428571,0,1,3,0.039051,0,0
2,3,1,0,1,3,0.072998,0,0
2,3,0.411807,0,3,2,0.025847,0,0
2,2,0,0.344086,3,1,0.312914,0,0
1,3,1,0.344086,2,3,0.398326,0,0
0,3,0,1,3,2,0.938384,0,0
2,3,1,0.344086,2,3,0.39962,0,0
1,2,0.142857,0.344086,2,1,0.357985,0,0
3,1,0.428571,0,3,1,0.046602,0,0
0,3,0.142857,0,2,3,0.050589,0,0
3,3,1,0,3,3,0.099018,0,0
0,1,0.428571,0,1,3,0.016103,0,0
1,3,1,0,3,1,0.09405,0,0
4,3,0.428571,0,1,3,0.042828,0,0
0,3,0.428571,0,3,1,0.041032,0,0
3,3,0.428571,1,3,1,0.938294,0,0
1,2,0.428571,1,3,2,0.940719,0,0
0,1,1,1,1,1,0.970335,0,0
4,2,0.428571,1,3,1,0.944288,0,0
4,3,0.428571,0,3,2,0.054524,0,0
2,1,0.411807,1,3,2,0.924596,0,0
2,2,0,0,3,1,0.027871,0,0
3,2,0,1,3,1,0.921627,0,0
0,3,0.142857,0.344086,2,1,0.327246,0,0
0,3,0.142857,1,2,1,0.929561,0,0
2,2,1,1,2,3,0.97247,0,0
0,2,1,0,1,2,0.081646,0,0
0,3,1,1,3,2,0.97217,0,0
4,2,0.142857,0.344086,3,2,0.340484,0,0
